hour,price_level,price_label,price_bdt,period
0,0,Off-peak,5.13,23:00 - 06:00
1,0,Off-peak,5.13,23:00 - 06:00
2,0,Off-peak,5.13,23:00 - 06:00
3,0,Off-peak,5.13,23:00 - 06:00
4,0,Off-peak,5.13,23:00 - 06:00
5,0,Off-peak,5.13,23:00 - 06:00
6,1,Normal,7.98,06:00 - 17:00
7,1,Normal,7.98,06:00 - 17:00
8,1,Normal,7.98,06:00 - 17:00
9,1,Normal,7.98,06:00 - 17:00
10,1,Normal,7.98,06:00 - 17:00
11,1,Normal,7.98,06:00 - 17:00
12,1,Normal,7.98,06:00 - 17:00
13,1,Normal,7.98,06:00 - 17:00
14,1,Normal,7.98,06:00 - 17:00
15,1,Normal,7.98,06:00 - 17:00
16,1,Normal,7.98,06:00 - 17:00
17,2,Peak,11.36,17:00 - 23:00
18,2,Peak,11.36,17:00 - 23:00
19,2,Peak,11.36,17:00 - 23:00
20,2,Peak,11.36,17:00 - 23:00
21,2,Peak,11.36,17:00 - 23:00
22,2,Peak,11.36,17:00 - 23:00
23,0,Off-peak,5.13,23:00 - 06:00
