task,w_perf,w_cost,w_fair,mean_perf,mean_cost,mean_fair,mean_weighted
budget,0.0,0.0,1.0,107.61,2.03,27.13,27.13
budget,0.0,0.25,0.75,108.28,1.46,28.43,21.69
budget,0.0,0.5,0.5,113.52,-1.69,29.53,13.92
budget,0.0,0.75,0.25,116.14,-0.01,29.85,7.46
budget,0.0,1.0,0.0,108.89,-1.0,28.36,-1.0
budget,0.25,0.0,0.75,114.14,-0.16,30.06,51.08
budget,0.25,0.25,0.5,111.2,0.76,28.29,42.13
budget,0.25,0.5,0.25,114.52,2.02,29.93,37.12
budget,0.25,0.75,0.0,114.54,-1.74,29.66,27.33
budget,0.5,0.0,0.5,108.81,1.1,28.37,68.59
budget,0.5,0.25,0.25,111.11,2.52,29.01,63.44
budget,0.5,0.5,0.0,111.22,-0.95,29.18,55.13
budget,0.75,0.0,0.25,112.61,0.01,29.17,91.75
budget,0.75,0.25,0.0,117.11,-1.22,30.63,87.53
budget,1.0,0.0,0.0,113.64,0.92,29.94,113.64
trading,0.0,0.0,1.0,234.58,-39.61,0.0,0.0
trading,0.0,0.25,0.75,243.0,-39.05,0.0,-9.76
trading,0.0,0.5,0.5,241.18,-39.65,0.0,-19.82
trading,0.0,0.75,0.25,267.11,-39.81,0.0,-29.86
trading,0.0,1.0,0.0,232.53,-39.24,0.0,-39.24
trading,0.25,0.0,0.75,225.71,-40.13,0.0,56.43
trading,0.25,0.25,0.5,257.7,-39.69,0.0,54.5
trading,0.25,0.5,0.25,261.77,-36.95,0.0,46.97
trading,0.25,0.75,0.0,257.93,-37.22,0.0,36.57
trading,0.5,0.0,0.5,237.78,-39.34,0.0,118.89
trading,0.5,0.25,0.25,254.74,-39.38,0.0,117.53
trading,0.5,0.5,0.0,223.16,-39.78,0.0,91.69
trading,0.75,0.0,0.25,250.09,-38.58,0.0,187.57
trading,0.75,0.25,0.0,238.75,-39.42,0.0,169.21
trading,1.0,0.0,0.0,245.17,-39.6,0.0,245.17
pest_control,0.0,0.0,1.0,90.9,10.2,7.3,7.3
pest_control,0.0,0.25,0.75,88.42,7.92,10.86,10.12
pest_control,0.0,0.5,0.5,90.79,13.92,7.5,10.71
pest_control,0.0,0.75,0.25,92.91,9.5,8.57,9.27
pest_control,0.0,1.0,0.0,90.95,12.54,6.46,12.54
pest_control,0.25,0.0,0.75,89.44,8.89,8.52,28.75
pest_control,0.25,0.25,0.5,93.1,11.21,7.09,29.62
pest_control,0.25,0.5,0.25,93.15,9.87,8.46,30.34
pest_control,0.25,0.75,0.0,89.84,10.99,6.88,30.7
pest_control,0.5,0.0,0.5,88.88,10.35,7.95,48.41
pest_control,0.5,0.25,0.25,85.92,9.79,8.17,47.45
pest_control,0.5,0.5,0.0,93.46,12.4,6.21,52.93
pest_control,0.75,0.0,0.25,93.4,12.58,6.56,71.69
pest_control,0.75,0.25,0.0,90.22,9.63,9.28,70.07
pest_control,1.0,0.0,0.0,93.65,11.05,8.24,93.65
